Original u	Witness	Lower u	Upper u
0.7503983519	4.1719246654 - 27.2337558541*E1 - 3.6205543676*E1^2 - 5.0295525483*E1^3 - 3.4229530054*E2 - 47.6782646714*E1*E2 + 4.72863951*E2^2 - 7.1324408107*E3 + 13.5516196072*E1*E3 + 0.77639616*E2*E3 + 1.2490724883*E3^2 + Piecewise[{{16.295371295 + 129.1281200155*E1, E1 >= -0.1261953732}}, -7.9989487371 - 63.3854358901*E1]	0.7503982654	0.7503984838
0.7503983703	2.2132615151 - 3.3803917856*E1 - 24.5327563163*E1^2 - 0.3827774706*E1^3 - 4.0885362622*E2 - 38.5146014541*E1*E2 + 1.4070761163*E2^2 - 1.0666217088*E3 + 12.3983896097*E1*E3 + 0.2310281388*E2*E3 + 0.3716794226*E3^2 + Piecewise[{{0., E1 == -0.1261954282}, {18.5456820408 + 146.9600151791*E1, E1 > -0.1261954282}}, -14.5888840754 - 115.6054881379*E1]	0.7503983519	0.7503984008
0.7503983765	66.4677855033 + 180.5672413569*E1 + 1007.0802177806*E1^2 - 20.3530469409*E1^3 + 201.5749822214*E2 + 1437.3564763788*E1*E2 + 37.2954606586*E2^2 - 177.4576582778*E3 - 850.9234383055*E1*E3 + 6.3760644832*E2*E3 + 10.0606017936*E3^2 + Piecewise[{{774.3068118979 + 6135.7745579393*E1, E1 >= -0.1261954468}}, -674.7288195231 - 5346.6970207727*E1]	0.7503983703	0.7503983814
0.7503984629	0.5547494309 - 0.1980134497*E1 + 0.9451780167*E1^2 - 0.1464573789*E1^3 + 0.2515675025*E2 + 0.3758069559*E1*E2 + 0.3721588426*E2^2 - 0.8532078056*E3 - 1.2462404637*E1*E3 + 0.0611049252*E2*E3 + 0.098305245*E3^2 + Piecewise[{{-1.2524320888 - 9.9245221973*E1, E1 < -0.1261957063}}, 1.4337730746 + 11.3615044136*E1]	0.7503983765	0.7503985314
0.7503985283	1.816235841 - 3.390942409*E1 + 7.6530768039*E1^2 - 1.041215707*E1^3 + 1.3464929998*E2 + 4.232388422*E1*E2 + 1.4810029551*E2^2 - 3.7066266764*E3 - 7.4261862126*E1*E3 + 0.2431667627*E2*E3 + 0.3912032502*E3^2 + Piecewise[{{8.1156525019 + 64.3099525853*E1, E1 >= -0.1261959024}}, -6.5475233106 - 51.8838027572*E1]	0.7503984629	0.7503985781
0.7503985433	18.7639203625 - 38.0429679024*E1 - 256.5210758631*E1^2 - 4.7759558077*E1^3 - 50.0605064681*E2 - 449.6676951985*E1*E2 + 12.1883299598*E2^2 - 2.6467160572*E3 + 159.6360695055*E1*E3 + 2.0012096387*E2*E3 + 3.2195139691*E3^2 + Piecewise[{{-168.2070169791 - 1332.9034747438*E1, E1 < -0.1261959475}}, 201.2340888127 + 1594.6160929101*E1]	0.7503985283	0.7503985675
0.7503985689	0.7154508825 + 1.5331836515*E1 + 3.8697801209*E1^2 - 0.4071467623*E1^3 + 0.848405785*E2 + 5.1342567625*E1*E2 + 0.3654874969*E2^2 - 1.2836138762*E3 - 4.7557271276*E1*E3 + 0.0600096467*E2*E3 + 0.0965423627*E3^2 + Piecewise[{{0., E1 == -0.1261960244}, {4.6383354591 + 36.7550046239*E1, E1 >= -0.1261960244}}, -3.1523668599 - 24.9799221153*E1]	0.7503985433	0.7503985964
0.7503985906	0.8082170094 + 2.3982800232*E1 + 5.1213202987*E1^2 - 0.4710904489*E1^3 + 1.0772351221*E2 + 6.9376034067*E1*E2 + 0.3677729812*E2^2 - 1.4308746343*E3 - 5.8887816408*E1*E3 + 0.060384921*E2*E3 + 0.097145931*E3^2 + Piecewise[{{5.5038175336 + 43.6132177637*E1, E1 >= -0.1261960895}}, -4.1723028576 - 33.0620613778*E1]	0.7503985689	0.7503986121
0.7503986534	8.5249758803 + 7.7455781375*E1 + 0.4071201898*E1^2 - 3.2305174052*E1^3 + 0.2321399935*E2 - 18.7127871668*E1*E2 + 4.7282637995*E2^2 - 10.8015030039*E3 - 15.528926419*E1*E3 + 0.7763378824*E2*E3 + 1.2489491184*E3^2 + Piecewise[{{22.875493624 + 181.2691625036*E1, E1 >= -0.126196278}}, -21.084619347 - 167.0779810729*E1]	0.7503985906	0.7503987146
0.7503987466	0.5654799917 + 0.4791897425*E1 + 0.5171930299*E1^2 - 0.0483975665*E1^3 + 0.1473037201*E2 - 0.2282045174*E1*E2 + 0.3210402284*E2^2 - 0.6953299236*E3 - 0.7527090311*E1*E3 + 0.0527119552*E2*E3 + 0.0848007922*E3^2 + Piecewise[{{-0.9318040275 - 7.3837515417*E1, E1 < -0.1261965577}}, 1.0902114944 + 8.6389955026*E1]	0.7503986534	0.7503988404
